Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C16, C17, C18",0402,5,0u1,C307331
"C12, C20, C22, C24, C8",0402,5,10u,C15525
C13,0402,1,10n,C15195
"C14, C15, C19, C9",0402,4,1u,C52923
"C21, C3, C30, C4",0603,4,1u,C15849
"C23, C25",0402,2,12p,C1547
"C26, C27",0402,2,20p,C1554
"C28, C29",0402,2,1p2,C76899
C5,0805,1,10u,C440198
C6,0805,1,10n,C1710
C7,1206,1,47u,C96123
"D1, D2, D8",0805,3,GREEN,C2297
D10,0603,1,RED, C2286
"D11, D12, D13, D14",D_SOD-123,4,BZT52B3V3,C19077392
"D3, D6, D7",D_SMA,3,D_Schottky,C22452
"D5, D9",0603,2,WHITE,C2290
"J3, J4",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_14P,C393939
J6,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,C88374
L1,L_SXN_SMDRI127,1,100u,C10150
"L2, L4",0402,2,2n7,C412269
L3,0402,1,24n,C167472
Q3,SOT-363_SC-70-6,1,MMDT5551,C41375116
"R1, R12, R13, R14, R19, R20, R21, R22, R23, R24, R26, R27, R28, R4",0603,14,5k1,C23186
R10,0603,1,470,C23179
R18,0603,1,1k,C21190
R2,0603,1,4k7,C23162
"R25, R29, R30, R31",0603,4,750,C23241
"R3, R5, R7, R9",0603,4,10k,C25804
"R6, R8",0603,2,0,C21189
U1,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3FH4R2,C3013940
U3,SOT-23-3,1,XC6206P332MR-G, C5446
U4,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
U5,SOT-23-5,1,AP2112K-3.3,C51118
"U6, U7",SOT-23-6,2,USBLC6-2SC6,C7519
U8,SOIC-16_3.9x9.9mm_P1.27mm,1,ULN2003A,C7512
U9,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102-GMR,C6568
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48M,C7206306
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32k768,C32346
